step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,101,601,4.571428571428571,0.0,122.14285714285715,-0.31094329925240244,-0.5720978078725079
2,61,654,0.2,-0.5,1.2727272727272727,-0.11818736805705161,-1.3057823129251704
3,58,171,0.6666666666666666,0.0,1.0,0.0,
4,57,57,0.0,0.0,,,
5,97,330,13.5,-12.5,183.0,0.14865214629031845,-4.940547642509481
6,107,257,18.0,-28.0,357.3333333333333,1.3896361387064902,
7,146,209,0.0,-83.0,3444.5,,
8,97,183,0.0,-11.0,60.5,,
9,68,68,0.0,0.0,,,
10,116,231,0.0,-1.0,0.5,,
11,148,148,0.0,0.0,,,
12,126,126,0.0,0.0,,,
