step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
1,10,10,0.0,0.0,,,,23.0,23,
2,30,46,0.0,-14.0,98.0,,,23.0,23,0.0
3,9,9,0.0,0.0,,,,22.0,22,
4,9,9,0.0,0.0,,,,21.0,21,
5,36,36,0.0,0.0,,,,22.0,22,
6,9,9,0.0,0.0,,,,22.0,22,
7,9,9,0.0,0.0,,,,22.0,22,
8,8,8,0.0,0.0,,,,22.0,22,
9,6,6,0.0,0.0,,,,23.0,23,
10,19,19,0.0,0.0,,,,24.0,24,
11,9,9,0.0,0.0,,,,24.0,24,
12,16,16,0.0,0.0,,,,24.0,24,
13,16,16,0.0,0.0,,,,24.0,24,
14,9,9,0.0,0.0,,,,23.0,23,
15,9,9,0.0,0.0,,,,23.0,23,
16,23,23,0.0,0.0,,,,23.0,23,
17,23,23,0.0,0.0,,,,23.0,23,
18,9,9,0.0,0.0,,,,24.0,24,
19,8,8,0.0,0.0,,,,24.0,24,
20,9,9,0.0,0.0,,,,24.0,24,
21,9,9,0.0,0.0,,,,24.0,24,
22,25,25,0.0,0.0,,,,24.0,24,
